DO,pH,Alkalinity,Hardness,Nitrite,H2S,Salinity,Ammonia,Temperature,WSS,AHPND,TSV,YHV
0.21,4.75,218.36,300.13,4.36,0.07,24.44,5.9,35.18,1,1,1,1
11.43,3.09,273.94,8.43,2.18,0.02,10.08,0.73,36.45,0,0,0,1
12.43,9.65,220.81,11.73,4.9,0.07,11.29,4.88,33.51,0,1,0,1
10.96,4.82,266.57,6.63,3.57,0.03,23.82,0.99,30.07,0,0,0,0
1.36,10.24,252.11,339.89,4.66,0.06,13.43,3.81,30.72,1,1,1,1
12.7,12.71,279.75,362.55,3.47,0.07,23.67,0.35,32.36,0,0,0,0
14.79,10.47,240.2,17.79,4.76,0.1,15.69,1.36,29.89,0,1,0,0
0.72,1.49,296.03,16.1,2.96,0.03,12.99,0.37,30.34,1,1,1,1
2.21,0.05,244.92,7.33,2.51,0.06,21.24,0.05,33.38,1,1,1,1
8.64,0,269.68,322.39,4.64,0.03,24.76,0.4,31.6,0,0,0,0
1.99,13.65,205.49,389.77,3.34,0.02,23.96,5.56,35.24,1,1,1,1
1.81,5.11,250.86,19.07,4.55,0.08,22.42,1.56,33.03,1,1,1,1
10.36,4.24,263.45,374.35,2.45,0.08,19.28,0.26,34.42,0,0,0,0
10.91,13.35,229.74,354.38,2.18,0.08,17.68,0.34,28.1,0,0,0,0
0.55,4.81,249.68,18.97,3.03,0.04,16.45,0.93,33.89,1,1,1,1
1.61,1.87,286.28,16.34,3.04,0.06,11.82,0.78,32.36,1,1,1,1
0.53,2.86,240.95,4.98,2.18,0.05,13.05,1.5,34.07,1,1,1,1
9.98,12.99,248.22,1.8,2.73,0.09,21.35,0.21,30.76,0,0,0,0
14.3,0.07,279.89,398.8,4.84,0.08,22.8,3.3,36.39,0,0,0,0
2.67,5.53,205.1,320.59,2.23,0.05,21.5,0.86,35.99,1,1,1,1
1.25,12.48,251.49,8.27,3.72,0.07,12.84,4.63,36.09,1,1,1,1
8.43,2.19,261.88,13.7,3.4,0.04,15.01,0.04,29.83,0,0,0,0
0.94,11.67,262.62,14.08,2.18,0.07,21.94,5.08,31.85,1,1,1,1
14.8,4.88,253.36,14.08,2.33,0.05,18.77,2.76,29.88,0,0,0,0
2.16,4.96,289.61,397.66,2.24,0.03,14.56,0.02,28.79,1,1,1,1
9.61,9.96,238,8.09,3.11,0.06,21.31,0.66,34.39,0,0,0,1
2.63,4.97,236.76,363.19,3.93,0.07,24.57,4.74,31.04,1,1,1,1
11.64,3.58,211.41,7.81,3.94,0.05,21.24,1.56,33.93,0,0,0,1
1.72,0.23,294.85,3.04,4.11,0.07,12.41,0.45,31.67,1,1,1,1
1.32,12.82,292.19,17.36,4.99,0.05,12.33,5.62,34.71,1,1,1,1
0.84,0.29,245.16,15.58,2.22,0.03,19.45,5.75,34.82,1,1,1,1
10.96,1.38,224.23,2.17,3.4,0.05,10.09,0.92,35.44,0,0,0,1
0.97,4.51,250.68,15.77,2.12,0.09,17.3,3.65,32.63,1,1,1,1
10.41,0.29,287.9,336.49,3.97,0.03,19.96,2.23,30.51,0,0,0,0
1.23,1.67,241.49,342.72,4.11,0.1,18.07,0.85,31.7,1,1,1,1
0.75,1.02,271.55,4.83,2.34,0.04,21.89,3.6,28.93,1,1,1,1
0.73,13.34,243.61,13.68,3.75,0.05,24.33,4.49,29.33,1,1,1,1
1.22,11.7,264.74,343.15,4.76,0.05,16.29,3.79,35.25,1,1,1,1
2.77,10.44,235.78,1.92,4.81,0.02,17.33,4.65,34.49,1,1,1,1
